id;pointdepart;pointarrive
1;Chicken Rustic back up;Buckinghamshire 6th generation Frozen
2;cyan Marketing;innovative compressing
3;Music viral bus;Investment Account
4;online withdrawal Unbranded;Checking Account Kentucky Overpass
5;port;COM Auto Loan Account Armenian Dram
6;installation whiteboard system;bandwidth-monitored Producer target
7;transmitting Dynamic;auxiliary Alaska
8;Liaison Buckinghamshire;out-of-the-box client-driven Tanzanian Shilling
9;benchmark Delaware;generate models Antarctica (the territory South of 60 deg S)
10;Delaware;lime Assistant Micronesia
